Video,Model,Aktarim_Modu,Frame_ID,Decode_Zamani_ms,Stabil_FPS
12331098_1080_1920_25fps,V5_Standart,CODEC,55,33.76,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,56,33.79,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,57,33.95,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,58,33.8,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,59,33.81,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,60,34.06,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,61,34.05,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC,62,33.91,29.51
12331098_1080_1920_25fps,V5_Standart,CODEC,63,33.72,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,64,33.87,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,65,33.93,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,66,33.8,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,67,33.8,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,68,33.87,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,69,33.78,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,70,33.94,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,71,33.93,29.52
12331098_1080_1920_25fps,V5_Standart,CODEC,72,33.83,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,73,33.83,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,74,33.85,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,75,33.79,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,76,33.75,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,77,33.78,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,78,33.9,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,79,33.79,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,80,33.85,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,81,33.77,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,82,33.95,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,83,33.81,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,84,33.9,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,85,34.03,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,86,33.82,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,87,33.83,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,88,33.86,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,89,33.85,29.53
12331098_1080_1920_25fps,V5_Standart,CODEC,90,33.82,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,91,33.83,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,92,33.93,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,93,33.8,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,94,33.79,29.54
12331098_1080_1920_25fps,V5_Standart,CODEC,95,33.86,29.55
12331098_1080_1920_25fps,V5_Standart,CODEC,96,33.78,29.55
