Kare,Tip,PSNR,Bandwidth
176,AI_SENTEZ,31.55,SAVED
177,SUNUCU_KARE,inf,DOWNLOADED
178,AI_SENTEZ,36.10,SAVED
179,SUNUCU_KARE,inf,DOWNLOADED
180,AI_SENTEZ,34.69,SAVED
181,SUNUCU_KARE,inf,DOWNLOADED
182,AI_SENTEZ,37.36,SAVED
183,SUNUCU_KARE,inf,DOWNLOADED
184,AI_SENTEZ,35.35,SAVED
185,AI_SENTEZ,31.45,SAVED
186,AI_SENTEZ,31.21,SAVED
187,SUNUCU_KARE,inf,DOWNLOADED
188,AI_SENTEZ,35.54,SAVED
189,SUNUCU_KARE,inf,DOWNLOADED
190,AI_SENTEZ,35.05,SAVED
191,SUNUCU_KARE,inf,DOWNLOADED
192,AI_SENTEZ,37.40,SAVED
193,SUNUCU_KARE,inf,DOWNLOADED
194,AI_SENTEZ,36.03,SAVED
195,AI_SENTEZ,32.14,SAVED
196,AI_SENTEZ,31.52,SAVED
197,SUNUCU_KARE,inf,DOWNLOADED
